name,description,url,image,section,target
Pre School Worksheets,Pre School learning from home activities,/worksheets-ps,pilgrims.jpg,school,_self
Year 2 Worksheets,Year 2 learning from home activities,/worksheets-y2,pilgrims.jpg,school,_self
Purple Mash,"Computing and digital skills across the curriculum for KS1 and KS2<br><br><i>Tasks will either be set in 'Work'  or set as a '2Do' .
If work has been set in the 'Work' folder you will need to click on Group -  Remote Lesson Year 2 - Week 1 (down the left hand side). 
Remember to click on the little triangle not the title of the folder. </i>
",https://www.purplemash.com/sch/pilgrims,purple-mash.png,school,_blank
Times Table Rock Stars,Times Tables Rock Stars is a carefully sequenced programme of daily times tables practice.,https://play.ttrockstars.com/login/13936,tt-rock-stars.png,school,_blank
Oxford Owl,This is a free e-book library,https://www.oxfordowl.co.uk/,oxford-owl.png,school,_blank
Reading Chest,Pilgrims have won a three month membership to Reading Chest. This offers parents the ability to access a borrowing system for reading scheme books. Please follow the link and enter the code: Pi893159,https://www.readingchest.co.uk,reading-chest.png,school,_blank
The World of David Walliams,David Walliams' site has lots of lovely activity ideas and audio stories in the 'Elevenses' section based on his popular books.,https://www.worldofdavidwalliams.com/elevenses/,david-walliams.jpg,school,_blank
ICT games,Free games for literacy and numeracy.,https://www.ictgames.com/,ict-games.png,school,_blank
Top Marks,Resources and games for all areas of the curriculum,https://www.topmarks.co.uk/,topmarks.png,school,_blank
Phonics Play,"The key phonic resource we use in school. To access please use: Username: march20, Password: home",https://new.phonicsplay.co.uk/,phonicsplay.png,school,_blank
Twinkl,"Resources for a range of subjects. Go to <a href=""https://www.twinkl.co.uk/offer"">https://www.twinkl.co.uk/offer</a> and enter the code: UKTWINKLHELPS",https://www.twinkl.co.uk,twinkl.png,school,_blank
Twinkl Go,Twinkl interactive resources are designed to be used with a computer or mobile device,https://www.twinkl.co.uk/go/games-twinkl-go,twinkl-go.png,school,_blank
Education City,Pilgrims has a subscription to this resource which covers an extensive range of literacy and numeracy areas for the foundation stage and key stage1. The link provided must be used to access the Pilgrims subscription. You do not need to login.,https://ec1.educationcity.com/home/autoLoginChk/NDQ1NzZ8NzgyMzYyfGM4NjJjMjUyY2JlNjZkYjJlYmEwNjBjZTMxYzAzMGIxOWJkOGY2NGM=,education-city.jpg,school,_blank
SparkleBox,"1000s of FREE Primary Teaching Resources & Printables - EYFS, KS1 and KS2",https://www.sparklebox.co.uk/,sparkle-box.png,school,_blank
BBC Bitesize,Educational clips and videos on a number of different subjects.,https://www.bbc.co.uk/bitesize/primary,bbc-bitesize.png,school,_blank
Maths with Vorderman,Carol Vorderman is currently offering free membership to her maths website,https://www.themathsfactor.com/,mathsfactor.jpg,school,_blank
The Woodland Trust,Ten ideas for fund activities to do at home with nature,https://www.woodlandtrust.org.uk/blog/2020/03/nature-detectives/,woodland-trust.png,school,_blank
Tree Tools For Schools,Activities - Woodland Trust,http://treetoolsforschools.org.uk/categorymenu/?cat=activities,tree-tools-for-schools.png,school,_blank
Google Earth,Google Earth is a computer program that renders a 3D representation of Earth based primarily on satellite imagery,https://earth.google.com/web/,google-earth.jpg,school,_blank
National Geographic for Kids,"Cool facts for children from around the planet. Website includes facts, games, quizzes and more.",https://www.natgeokids.com/uk/,nat-geo-kids.jpg,school,_blank
Tate Kids,"Explore, make and quiz on thie wonderful world of art",https://www.tate.org.uk/kids,tate-kids.jpg,school,_blank
The Kid Should See This!,"Child friendly videos on science, nature, music, art, technology and more.",https://thekidshouldseethis.com/,the-kid-should-see-this.png,school,_blank
The Body Coach,Free PE lessons for all children online every day beginning at 9AM.,https://www.youtube.com/user/thebodycoach1/videos,joe-wickes.jpg,school,_blank
Cosmic Kids Yoga,"Yoga, mindfulness and relaxation designed specially for kids aged 3+",https://www.youtube.com/channel/UC5uIZ2KOZZeQDQo_Gsi_qbQ,cosmic-kids-yoga.jpg,school,_blank
Oti Mabuse Dance,Dancing with Oti Mabuse,https://www.youtube.com/channel/UC58aowNEXHHnflR_5YTtP4g,oti-mabuse.jpg,school,_blank
GoNoodle,"GoNoodle gets kids up and moving to fun, engaging content and games. Every dance party, yoga session, mindfulness activity, and game session is an opportunity for kids to wake up their bodies, engage their minds, and be their best.",https://www.gonoodle.com/for-families/,gonoodle.jpg,school,_blank
2AS Zoom,2AS Zoom Meeting Link,https://us04web.zoom.us/j/3991503351,zoom.jpg,school,_blank
